"module"	"local_status"	"rmd_count"	"html_count"	"rmd"	"html"	"sample_inputs"	"sample_outputs"
"FigureYa141risk"	"tracked-local"	"1"	"1"	"FigureYa141risk/FigureYa141risk.Rmd"	"FigureYa141risk/FigureYa141risk.html"	"FigureYa141risk/easy_input_risk.csv;FigureYa141risk/easy_input_sig.txt;FigureYa141risk/example1.png;FigureYa141risk/example2.png;FigureYa141risk/example3.png"	"FigureYa141risk/cox.pdf;FigureYa141risk/cox2.pdf;FigureYa141risk/example1.png;FigureYa141risk/example2.png;FigureYa141risk/example3.png"
"FigureYa145target"	"tracked-local"	"1"	"1"	"FigureYa145target/FigureYa145target.Rmd"	"FigureYa145target/FigureYa145target.html"	"FigureYa145target/easy_input_group.txt;FigureYa145target/easy_input_node.txt;FigureYa145target/example.png"	"FigureYa145target/example.png;FigureYa145target/target.pdf"
"FigureYa146TMEbox"	"tracked-local"	"1"	"1"	"FigureYa146TMEbox/FigureYa146TMEbox.Rmd"	"FigureYa146TMEbox/FigureYa146TMEbox.html"	"FigureYa146TMEbox/easy_input_cluster.txt;FigureYa146TMEbox/easy_input_expr.csv;FigureYa146TMEbox/example.png"	"FigureYa146TMEbox/TME-relevant-sigature-boxplot.pdf;FigureYa146TMEbox/example.png"
"FigureYa147interaction"	"tracked-local"	"1"	"1"	"FigureYa147interaction/FigureYa147interaction.Rmd"	"FigureYa147interaction/FigureYa147interaction.html"	"FigureYa147interaction/easy_input.csv;FigureYa147interaction/example1.png;FigureYa147interaction/example2.png"	"FigureYa147interaction/example1.png;FigureYa147interaction/example2.png;FigureYa147interaction/interaction.pdf;FigureYa147interaction/step1.png;FigureYa147interaction/step2.png;FigureYa147interaction/step3.png"
"FigureYa14circos"	"tracked-local"	"0"	"1"	""	"FigureYa14circos/FigureYa14circos.html"	""	"FigureYa14circos/Mydata/circos.png"
"FigureYa151pathifier"	"tracked-local"	"1"	"1"	"FigureYa151pathifier/FigureYa151pathifier.Rmd"	"FigureYa151pathifier/FigureYa151pathifier.html"	"FigureYa151pathifier/easy_input_expr.txt;FigureYa151pathifier/easy_input_info.txt;FigureYa151pathifier/example.png"	"FigureYa151pathifier/example.png;FigureYa151pathifier/pathifier.pdf"
"FigureYa153ccgraph"	"tracked-local"	"1"	"1"	"FigureYa153ccgraph/FigureYa153ccgraph.Rmd"	"FigureYa153ccgraph/FigureYa153ccgraph.html"	"FigureYa153ccgraph/easy_input_rnk.txt;FigureYa153ccgraph/example.png"	"FigureYa153ccgraph/ccgraph.pdf;FigureYa153ccgraph/ccgraph_color.pdf;FigureYa153ccgraph/ccgraph_microbiome.pdf;FigureYa153ccgraph/example.png"
"FigureYa154immuneSubtypes"	"tracked-local"	"1"	"1"	"FigureYa154immuneSubtypes/FigureYa154immuneSubtypes.Rmd"	"FigureYa154immuneSubtypes/FigureYa154immuneSubtypes.html"	"FigureYa154immuneSubtypes/example.png"	"FigureYa154immuneSubtypes/example.png;FigureYa154immuneSubtypes/step01/consensus.pdf;FigureYa154immuneSubtypes/step01/consensus001.png;FigureYa154immuneSubtypes/step01/consensus002.png;FigureYa154immuneSubtypes/step01/consensus003.png;FigureYa154immuneSubtypes/step01/consensus004.png;FigureYa154immuneSubtypes/step01/consensus005.png;FigureYa154immuneSubtypes/step01/consensus006.png"
"FigureYa155ATAC"	"tracked-local"	"1"	"1"	"FigureYa155ATAC/FigureYa155ATAC.Rmd"	"FigureYa155ATAC/FigureYa155ATAC.html"	"FigureYa155ATAC/example.png"	"FigureYa155ATAC/download.png;FigureYa155ATAC/example.png;FigureYa155ATAC/heatmap.pdf;FigureYa155ATAC/washu1.png;FigureYa155ATAC/washu2.png"
"FigureYa156enrichSimulation"	"tracked-local"	"1"	"1"	"FigureYa156enrichSimulation/FigureYa156enrichSimulation.Rmd"	"FigureYa156enrichSimulation/FigureYa156enrichSimulation.html"	""	"FigureYa156enrichSimulation/method.png"
"FigureYa158MutationPattern"	"tracked-local"	"1"	"1"	"FigureYa158MutationPattern/FigureYa158MutationPattern.Rmd"	"FigureYa158MutationPattern/FigureYa158MutationPattern.html"	"FigureYa158MutationPattern/example.png"	"FigureYa158MutationPattern/MutationPatterns.pdf;FigureYa158MutationPattern/example.png"
"FigureYa159LR_RF_V2"	"tracked-local"	"1"	"1"	"FigureYa159LR_RF_V2/FigureYa159LR_RF_V2.Rmd"	"FigureYa159LR_RF_V2/FigureYa159LR_RF_V2.html"	"FigureYa159LR_RF_V2/easy_input.csv;FigureYa159LR_RF_V2/easy_input_LR_RF.csv;FigureYa159LR_RF_V2/example.png"	"FigureYa159LR_RF_V2/LR_RF.pdf;FigureYa159LR_RF_V2/example.png"
"FigureYa161stemness"	"tracked-local"	"1"	"1"	"FigureYa161stemness/FigureYa161stemness.Rmd"	"FigureYa161stemness/FigureYa161stemness.html"	"FigureYa161stemness/example1.png;FigureYa161stemness/example2.png"	"FigureYa161stemness/example1.png;FigureYa161stemness/example2.png;FigureYa161stemness/mDNAsi.pdf;FigureYa161stemness/mRNAsi.pdf"
"FigureYa162boxViolin"	"tracked-local"	"1"	"1"	"FigureYa162boxViolin/FigureYa162boxViolin.Rmd"	"FigureYa162boxViolin/FigureYa162boxViolin.html"	"FigureYa162boxViolin/easy_input.csv;FigureYa162boxViolin/easy_input_multi.csv;FigureYa162boxViolin/example.png"	"FigureYa162boxViolin/boxViolin.pdf;FigureYa162boxViolin/boxViolin_multipleGroups.pdf;FigureYa162boxViolin/example.png"
"FigureYa164PCA3D"	"tracked-local"	"1"	"1"	"FigureYa164PCA3D/FigureYa164PCA3D.Rmd"	"FigureYa164PCA3D/FigureYa164PCA3D.html"	"FigureYa164PCA3D/easy_input_expr.csv;FigureYa164PCA3D/easy_input_expr_all.csv;FigureYa164PCA3D/easy_input_group1.txt;FigureYa164PCA3D/easy_input_group2.txt;FigureYa164PCA3D/example1.png;FigureYa164PCA3D/example2.png"	"FigureYa164PCA3D/PCA.png;FigureYa164PCA3D/example1.png;FigureYa164PCA3D/example2.png"
"FigureYa165heatmapPvalue"	"tracked-local"	"1"	"1"	"FigureYa165heatmapPvalue/FigureYa165heatmapPvalue.Rmd"	"FigureYa165heatmapPvalue/FigureYa165heatmapPvalue.html"	"FigureYa165heatmapPvalue/easy_input_expr.csv;FigureYa165heatmapPvalue/easy_input_expr_all.csv;FigureYa165heatmapPvalue/easy_input_gene.txt;FigureYa165heatmapPvalue/easy_input_group.csv;FigureYa165heatmapPvalue/example.png"	"FigureYa165heatmapPvalue/example.png;FigureYa165heatmapPvalue/heatmapPvalue.pdf"
"FigureYa166scCNV"	"tracked-local"	"1"	"1"	"FigureYa166scCNV/FigureYa166scCNV.Rmd"	"FigureYa166scCNV/FigureYa166scCNV.html"	"FigureYa166scCNV/example1.png;FigureYa166scCNV/example2.png"	"FigureYa166scCNV/example1.png;FigureYa166scCNV/example2.png;FigureYa166scCNV/scCNV.pdf"
"FigureYa169sigHeatmap"	"tracked-local"	"1"	"1"	"FigureYa169sigHeatmap/FigureYa169sigHeatmap.Rmd"	"FigureYa169sigHeatmap/FigureYa169sigHeatmap.html"	"FigureYa169sigHeatmap/easy_input_FPKM.txt;FigureYa169sigHeatmap/easy_input_counts.txt;FigureYa169sigHeatmap/example.png"	"FigureYa169sigHeatmap/example.png;FigureYa169sigHeatmap/skcm_sigheatmap_downexpressed.pdf;FigureYa169sigHeatmap/skcm_sigheatmap_upexpressed.pdf"
"FigureYa16fitting"	"tracked-local"	"1"	"1"	"FigureYa16fitting/FigureYa16WGCNA_fitting.Rmd"	"FigureYa16fitting/FigureYa16WGCNA_fitting.html"	"FigureYa16fitting/example.png"	"FigureYa16fitting/example.png;FigureYa16fitting/myfitting.pdf"
"FigureYa171subgroupSurv"	"tracked-local"	"1"	"1"	"FigureYa171subgroupSurv/FigureYa171subgroupSurv.Rmd"	"FigureYa171subgroupSurv/FigureYa171subgroupSurv.html"	"FigureYa171subgroupSurv/easy_input.csv;FigureYa171subgroupSurv/example.png"	"FigureYa171subgroupSurv/example.png;FigureYa171subgroupSurv/subgroupSurv.pdf"
"FigureYa173fancybar"	"tracked-local"	"1"	"1"	"FigureYa173fancybar/FigureYa173fancybar.Rmd"	"FigureYa173fancybar/FigureYa173fancybar.html"	"FigureYa173fancybar/example.png"	"FigureYa173fancybar/example.png;FigureYa173fancybar/fancybar.pdf"
"FigureYa177RNAvelocity"	"tracked-local"	"9"	"9"	"FigureYa177RNAvelocity/FigureYa177RNAvelocity.Rmd;FigureYa177RNAvelocity/scripts/s0_createEnv.Rmd;FigureYa177RNAvelocity/scripts/s1_prepare.Rmd;FigureYa177RNAvelocity/scripts/s2_runCCA.Rmd;FigureYa177RNAvelocity/scripts/s3_tsen_clustering.Rmd;FigureYa177RNAvelocity/scripts/s4_annotateCellType.Rmd;FigureYa177RNAvelocity/scripts/s5_DEG.Rmd;FigureYa177RNAvelocity/scripts/s6_trajectory.Rmd;FigureYa177RNAvelocity/scripts/s7_RNAVelocity.Rmd"	"FigureYa177RNAvelocity/FigureYa177RNAvelocity.html;FigureYa177RNAvelocity/scripts/s0_createEnv.html;FigureYa177RNAvelocity/scripts/s1_prepare.html;FigureYa177RNAvelocity/scripts/s2_runCCA.html;FigureYa177RNAvelocity/scripts/s3_tsen_clustering.html;FigureYa177RNAvelocity/scripts/s4_annotateCellType.html;FigureYa177RNAvelocity/scripts/s5_DEG.html;FigureYa177RNAvelocity/scripts/s6_trajectory.html;FigureYa177RNAvelocity/scripts/s7_RNAVelocity.html"	"FigureYa177RNAvelocity/example.png"	"FigureYa177RNAvelocity/RNAvelocity.png;FigureYa177RNAvelocity/example.png"
"FigureYa178receptorLigand"	"tracked-local"	"1"	"1"	"FigureYa178receptorLigand/FigureYa178receptorLigand.Rmd"	"FigureYa178receptorLigand/FigureYa178receptorLigand.html"	"FigureYa178receptorLigand/example1.png;FigureYa178receptorLigand/example2.png;FigureYa178receptorLigand/in/easy_input_columns.txt;FigureYa178receptorLigand/in/easy_input_rows.txt"	"FigureYa178receptorLigand/NatureProtocol_CellPhoneDB_efremova2020.pdf;FigureYa178receptorLigand/example1.png;FigureYa178receptorLigand/example2.png;FigureYa178receptorLigand/out/dotplot.pdf;FigureYa178receptorLigand/out/dotplot_select.pdf;FigureYa178receptorLigand/receptorLigand.pdf;FigureYa178receptorLigand/receptorLigand_plus.pdf"
"FigureYa17WGCNA_heatmap"	"tracked-local"	"1"	"1"	"FigureYa17WGCNA_heatmap/FigureYa17WGCNA_heatmap.Rmd"	"FigureYa17WGCNA_heatmap/FigureYa17WGCNA_heatmap.html"	"FigureYa17WGCNA_heatmap/easy_input.txt;FigureYa17WGCNA_heatmap/example.png"	"FigureYa17WGCNA_heatmap/example.png;FigureYa17WGCNA_heatmap/heatmap.pdf"
"FigureYa182RFSurvV2"	"tracked-local"	"1"	"1"	"FigureYa182RFSurvV2/FigureYa182RFSurvV2.Rmd"	"FigureYa182RFSurvV2/FigureYa182RFSurvV2.html"	"FigureYa182RFSurvV2/easy_input_cli.csv;FigureYa182RFSurvV2/easy_input_expr.csv;FigureYa182RFSurvV2/example.png"	"FigureYa182RFSurvV2/error rate and importance derived from package.pdf;FigureYa182RFSurvV2/error rate.pdf;FigureYa182RFSurvV2/example.png;FigureYa182RFSurvV2/relative importance.pdf"
"FigureYa183condSurv"	"tracked-local"	"1"	"1"	"FigureYa183condSurv/FigureYa183condSurv.Rmd"	"FigureYa183condSurv/FigureYa183condSurv.html"	"FigureYa183condSurv/easy_input.csv;FigureYa183condSurv/example.png"	"FigureYa183condSurv/conditional_survival_curve.pdf;FigureYa183condSurv/example.png;FigureYa183condSurv/formula.png"
"FigureYa184ranger"	"tracked-local"	"1"	"1"	"FigureYa184ranger/FigureYa184ranger.Rmd"	"FigureYa184ranger/FigureYa184ranger.html"	"FigureYa184ranger/easy_input_cli.csv;FigureYa184ranger/easy_input_expr.csv;FigureYa184ranger/example.png"	"FigureYa184ranger/example.png"
"FigureYa18oncoplot_update"	"tracked-local"	"1"	"1"	"FigureYa18oncoplot_update/FigureYa18oncoplot_update.Rmd"	"FigureYa18oncoplot_update/FigureYa18oncoplot_update.html"	"FigureYa18oncoplot_update/easy_input.txt;FigureYa18oncoplot_update/example.png"	"FigureYa18oncoplot_update/example.png;FigureYa18oncoplot_update/group.png;FigureYa18oncoplot_update/oncoplotGroup.pdf;FigureYa18oncoplot_update/oncoplotGroup.png;FigureYa18oncoplot_update/oncoplotLIST.pdf;FigureYa18oncoplot_update/oncoplotTop20.pdf;FigureYa18oncoplot_update/oncoplotTop20_col.pdf"
"FigureYa193RiskTable"	"tracked-local"	"1"	"1"	"FigureYa193RiskTable/FigureYa193RiskTable.Rmd"	"FigureYa193RiskTable/FigureYa193RiskTable.html"	"FigureYa193RiskTable/example.png"	"FigureYa193RiskTable/example.png;FigureYa193RiskTable/forestplot of risk table.pdf"
"FigureYa194pySCENIC"	"tracked-local"	"1"	"1"	"FigureYa194pySCENIC/FigureYa194pySCENIC.Rmd"	"FigureYa194pySCENIC/FigureYa194pySCENIC.html"	""	""
"FigureYa198SignatureCombinationV2"	"tracked-local"	"1"	"1"	"FigureYa198SignatureCombinationV2/FigureYa198SignatureCombinationV2.Rmd"	"FigureYa198SignatureCombinationV2/FigureYa198SignatureCombinationV2.html"	"FigureYa198SignatureCombinationV2/example.png"	"FigureYa198SignatureCombinationV2/combination barplot.pdf;FigureYa198SignatureCombinationV2/example.png;FigureYa198SignatureCombinationV2/method.PNG;FigureYa198SignatureCombinationV2/variable importance.pdf;FigureYa198SignatureCombinationV2/volcano.pdf"
"FigureYa199crosslink"	"tracked-local"	"1"	"1"	"FigureYa199crosslink/FigureYa199crosslink.Rmd"	"FigureYa199crosslink/FigureYa199crosslink.html"	"FigureYa199crosslink/easy_input2_edges.csv;FigureYa199crosslink/easy_input2_nodes.csv;FigureYa199crosslink/easy_input_edges.csv;FigureYa199crosslink/easy_input_nodes.csv;FigureYa199crosslink/example1.png;FigureYa199crosslink/example2.png"	"FigureYa199crosslink/crosslink_file.pdf;FigureYa199crosslink/crosslink_multiCol.pdf;FigureYa199crosslink/crosslink_par.pdf;FigureYa199crosslink/example1.png;FigureYa199crosslink/example2.png;FigureYa199crosslink/points-symbols.png"
"FigureYa200pairwiseAUC"	"tracked-local"	"1"	"1"	"FigureYa200pairwiseAUC/FigureYa200pairwiseAUC.Rmd"	"FigureYa200pairwiseAUC/FigureYa200pairwiseAUC.html"	"FigureYa200pairwiseAUC/example.png"	"FigureYa200pairwiseAUC/combined pairwise auc.pdf;FigureYa200pairwiseAUC/example.png;FigureYa200pairwiseAUC/heatmap.pdf"
"FigureYa203ComBat"	"tracked-local"	"1"	"1"	"FigureYa203ComBat/FigureYa203ComBat.Rmd"	"FigureYa203ComBat/FigureYa203ComBat.html"	"FigureYa203ComBat/example.png"	"FigureYa203ComBat/Combat PCA for combined expression profile.pdf;FigureYa203ComBat/PreprocessingOutput.png;FigureYa203ComBat/Raw PCA for combined expression profile.pdf;FigureYa203ComBat/example.png;FigureYa203ComBat/output_combined_expr.csv"
"FigureYa205immunophenoscore_update"	"tracked-local"	"1"	"1"	"FigureYa205immunophenoscore_update/FigureYa205immunophenoscore_update.Rmd"	"FigureYa205immunophenoscore_update/FigureYa205immunophenoscore_update.html"	"FigureYa205immunophenoscore_update/easy_input_IPS_genes.txt;FigureYa205immunophenoscore_update/easy_input_expr.txt;FigureYa205immunophenoscore_update/example.png"	"FigureYa205immunophenoscore_update/IPS_COAD-A6-2671-01A-01R-1410-07.pdf;FigureYa205immunophenoscore_update/IPS_COAD-A6-2676-01A-01R-0826-07.pdf;FigureYa205immunophenoscore_update/IPS_COAD-A6-2679-01A-02R-1410-07.pdf;FigureYa205immunophenoscore_update/IPS_COAD-A6-2682-01A-01R-1410-07.pdf;FigureYa205immunophenoscore_update/IPS_COAD-AA-3553-01A-01R-0821-07.pdf;FigureYa205immunophenoscore_update/IPS_COAD-AA-3675-01A-02R-0905-07.pdf;FigureYa205immunophenoscore_update/IPS_COAD-AA-3697-01A-01R-1723-07.pdf;FigureYa205immunophenoscore_update/IPS_COAD-AA-3848-01A-01R-0905-07.pdf"
"FigureYa206scHeatmap"	"tracked-local"	"1"	"1"	"FigureYa206scHeatmap/FigureYa206scHeatmap.Rmd"	"FigureYa206scHeatmap/FigureYa206scHeatmap.html"	"FigureYa206scHeatmap/example.png"	"FigureYa206scHeatmap/download.png;FigureYa206scHeatmap/example.png;FigureYa206scHeatmap/output_deg_EC.txt;FigureYa206scHeatmap/output_deg_GC.txt;FigureYa206scHeatmap/output_deg_M.txt;FigureYa206scHeatmap/output_deg_NKT.txt;FigureYa206scHeatmap/output_deg_OO.txt;FigureYa206scHeatmap/output_deg_SC.txt"
"FigureYa210survivalScape"	"tracked-local"	"1"	"1"	"FigureYa210survivalScape/FigureYa210survivalScape.Rmd"	"FigureYa210survivalScape/FigureYa210survivalScape.html"	"FigureYa210survivalScape/easy_input_expr.csv;FigureYa210survivalScape/easy_input_gene.txt;FigureYa210survivalScape/easy_input_surv.csv;FigureYa210survivalScape/example.png"	"FigureYa210survivalScape/example.png;FigureYa210survivalScape/m6A survival landscape using cox.pdf;FigureYa210survivalScape/m6A survival landscape using logrank.pdf"
"FigureYa213customizeHeatmap"	"tracked-local"	"1"	"1"	"FigureYa213customizeHeatmap/FigureYa213customizeHeatmap.Rmd"	"FigureYa213customizeHeatmap/FigureYa213customizeHeatmap.html"	"FigureYa213customizeHeatmap/example.png"	"FigureYa213customizeHeatmap/example.png;FigureYa213customizeHeatmap/heatmap.pdf;FigureYa213customizeHeatmap/output_degs.txt"
"FigureYa217RMR"	"tracked-local"	"1"	"1"	"FigureYa217RMR/FigureYa217RMR.Rmd"	"FigureYa217RMR/FigureYa217RMR.html"	"FigureYa217RMR/example.png"	"FigureYa217RMR/example.png;FigureYa217RMR/mcc.pdf"
"FigureYa218Elasticnet"	"tracked-local"	"1"	"1"	"FigureYa218Elasticnet/FigureYa218Elasticnet.Rmd"	"FigureYa218Elasticnet/FigureYa218Elasticnet.html"	"FigureYa218Elasticnet/easy_input_GSE101685.csv;FigureYa218Elasticnet/example.png"	"FigureYa218Elasticnet/Figure2A.pdf;FigureYa218Elasticnet/Figure2B.pdf;FigureYa218Elasticnet/Figure2C.pdf;FigureYa218Elasticnet/Figure2E.pdf;FigureYa218Elasticnet/example.png"
"FigureYa219GMM"	"tracked-local"	"1"	"1"	"FigureYa219GMM/FigureYa219GMM.Rmd"	"FigureYa219GMM/FigureYa219GMM.html"	"FigureYa219GMM/example.png"	"FigureYa219GMM/GMM cluster of all auc model combination.pdf;FigureYa219GMM/example.png;FigureYa219GMM/output_auc for all models with GMM clusters.txt;FigureYa219GMM/output_miRNA_selected.txt"
"FigureYa220repeatedLasso"	"tracked-local"	"1"	"1"	"FigureYa220repeatedLasso/FigureYa220repeatedLasso.Rmd"	"FigureYa220repeatedLasso/FigureYa220repeatedLasso.html"	"FigureYa220repeatedLasso/easy_input_surv.txt;FigureYa220repeatedLasso/example.png"	"FigureYa220repeatedLasso/example.png;FigureYa220repeatedLasso/frequency and cindex of model.pdf"
"FigureYa223scNMF"	"tracked-local"	"1"	"1"	"FigureYa223scNMF/FigureYa223scNMF.Rmd"	"FigureYa223scNMF/FigureYa223scNMF.html"	"FigureYa223scNMF/example1.png;FigureYa223scNMF/example2.png"	"FigureYa223scNMF/IOBR.png;FigureYa223scNMF/MalignantSiggkegg_6000.pdf;FigureYa223scNMF/MalignantSiggobp_6000.pdf;FigureYa223scNMF/example1.png;FigureYa223scNMF/example2.png"
"FigureYa224scMarker"	"tracked-local"	"1"	"1"	"FigureYa224scMarker/FigureYa224scMarker.Rmd"	"FigureYa224scMarker/FigureYa224scMarker.html"	"FigureYa224scMarker/example.png"	"FigureYa224scMarker/example.png;FigureYa224scMarker/plot_result/plotA_1_UMAP_celltype.pdf;FigureYa224scMarker/plot_result/plotA_1_UMAP_celltype_color.pdf;FigureYa224scMarker/plot_result/plotA_1_UMAP_cluster.pdf;FigureYa224scMarker/plot_result/plotA_all.pdf;FigureYa224scMarker/plot_result/plotB_1_2.pdf;FigureYa224scMarker/plot_result/plotB_3_heatmap.pdf;FigureYa224scMarker/plot_result/plotC.pdf"
"FigureYa227boxdensity"	"tracked-local"	"1"	"1"	"FigureYa227boxdensity/FigureYa227boxdensity.Rmd"	"FigureYa227boxdensity/FigureYa227boxdensity.html"	"FigureYa227boxdensity/easy_input.txt;FigureYa227boxdensity/example.png"	"FigureYa227boxdensity/boxdensity.pdf;FigureYa227boxdensity/example.png"
"FigureYa228linkCor"	"tracked-local"	"1"	"1"	"FigureYa228linkCor/FigureYa228linkCor.Rmd"	"FigureYa228linkCor/FigureYa228linkCor.html"	"FigureYa228linkCor/easy_input_blcaPath.txt;FigureYa228linkCor/easy_input_gene.csv;FigureYa228linkCor/easy_input_immPath.txt;FigureYa228linkCor/example.png"	"FigureYa228linkCor/example.png;FigureYa228linkCor/ggcor plot in bottom left.pdf;FigureYa228linkCor/ggcor plot in top right.pdf"
"FigureYa232scRankHeatmap"	"tracked-local"	"1"	"1"	"FigureYa232scRankHeatmap/FigureYa232scRankHeatmap.Rmd"	"FigureYa232scRankHeatmap/FigureYa232scRankHeatmap.html"	"FigureYa232scRankHeatmap/example.png"	"FigureYa232scRankHeatmap/download.png;FigureYa232scRankHeatmap/example.png;FigureYa232scRankHeatmap/output_degData.csv;FigureYa232scRankHeatmap/scRankHeatmp_down.pdf;FigureYa232scRankHeatmap/scRankHeatmp_up.pdf"
